generation,best_fitness,avg_fitness,worst_fitness
199,17.0,9.68,4.0
200,16.3333,9.8133,3.6667
201,16.0,9.6267,3.0
202,15.6667,9.29,3.3333
203,18.0,9.8067,3.0
204,15.6667,9.2267,4.3333
205,17.0,9.86,3.6667
206,16.3333,10.0033,3.6667
207,15.6667,9.4867,3.6667
208,15.3333,9.2333,3.6667
209,16.0,9.3867,3.6667
210,18.0,9.41,4.0
211,15.0,9.7333,4.6667
212,15.6667,9.8133,3.6667
213,18.0,9.75,3.0
214,17.3333,10.06,3.6667
215,16.0,9.4033,3.0
216,19.3333,10.1767,3.6667
217,16.3333,9.4633,3.3333
218,18.6667,9.34,3.0
219,16.3333,9.3667,3.6667
220,16.0,9.9933,3.6667
221,17.6667,9.85,3.3333
222,16.3333,9.9933,3.6667
223,17.6667,9.8533,5.0
224,16.0,9.7467,3.6667
225,15.0,9.2633,4.3333
226,17.0,9.7167,4.0
227,15.3333,9.8533,4.0
228,16.0,9.08,3.3333
229,15.3333,9.5,4.3333
230,15.3333,9.7933,4.0
231,15.3333,9.8933,3.6667
232,17.0,9.7133,3.3333
233,19.6667,10.2733,4.3333
234,17.0,10.41,3.3333
235,15.6667,9.2867,3.6667
236,17.0,9.4667,3.0
237,14.6667,9.2067,4.0
238,15.0,9.41,4.0
239,16.0,9.13,3.6667
240,16.6667,9.39,3.3333
241,17.6667,9.9933,3.3333
242,16.3333,9.15,3.0
243,14.6667,9.2433,3.0
244,16.6667,9.4667,3.0
245,17.0,9.96,3.6667
246,16.3333,9.6867,3.6667
247,15.3333,9.89,4.0
248,18.3333,9.3467,4.0
249,19.0,9.88,4.3333
250,17.6667,10.3,4.6667
251,17.3333,10.0967,4.3333
252,17.3333,10.02,3.3333
253,18.3333,9.5633,3.3333
254,15.3333,9.2467,4.0
255,17.0,9.1233,4.0
256,14.6667,9.4267,3.6667
257,18.0,9.9267,3.6667
258,16.0,9.2233,4.3333
259,14.6667,9.15,4.0
260,18.0,9.62,3.6667
261,17.3333,9.6367,3.6667
262,14.3333,8.9667,3.6667
263,14.6667,9.3467,3.3333
264,16.6667,9.3933,3.6667
265,16.6667,9.6567,3.6667
266,15.3333,9.1867,4.0
267,17.0,9.8133,4.6667
268,17.0,9.62,4.3333
269,17.3333,9.8033,4.6667
270,19.0,9.57,3.3333
271,16.0,9.6767,3.3333
272,17.0,10.38,4.3333
273,15.0,9.8367,4.0
274,16.0,9.67,3.3333
275,15.3333,9.4833,3.3333
276,14.6667,9.7533,4.0
277,14.6667,9.3133,3.3333
278,16.0,9.54,4.6667
279,15.6667,9.2,3.3333
280,13.6667,8.7967,3.6667
281,17.0,9.57,4.0
282,16.6667,9.31,4.0
283,16.3333,9.8033,4.0
284,19.3333,9.8367,3.3333
285,17.3333,9.82,3.6667
286,17.3333,10.1367,4.3333
287,15.3333,9.8333,3.6667
288,15.3333,9.5967,3.6667
289,16.0,9.7933,4.0
290,17.6667,9.73,4.0
291,15.6667,9.6033,3.3333
292,16.0,9.28,3.6667
293,15.6667,9.9133,4.3333
294,16.0,9.4367,4.0
295,16.3333,9.2667,3.3333
296,17.3333,9.23,3.6667
297,18.0,9.82,3.3333
298,18.0,9.2433,3.3333
299,17.3333,9.45,3.0
300,16.3333,9.5933,3.6667
301,15.6667,9.5833,4.0
302,18.0,10.0633,4.0
303,17.0,9.4967,3.6667
304,17.3333,8.95,3.3333
305,19.6667,9.6433,3.0
306,18.6667,9.5367,4.0
307,17.3333,9.3967,3.3333
308,16.6667,9.33,3.6667
309,16.0,9.7867,4.3333
310,16.0,9.3733,4.0
311,14.3333,9.5267,4.3333
312,14.6667,9.99,5.3333
313,15.0,9.5067,4.0
314,14.6667,9.6867,4.3333
315,15.3333,9.3667,4.0
316,15.3333,9.73,4.3333
317,15.6667,8.99,4.3333
318,16.3333,9.44,3.6667
319,18.3333,9.65,4.0
320,15.6667,9.2933,4.0
321,14.3333,9.1567,4.0
322,17.6667,9.61,3.6667
323,15.3333,9.3933,4.6667
324,17.6667,10.2433,4.6667
325,16.0,9.5433,4.3333
326,14.6667,9.4867,4.0
327,15.6667,9.7567,4.3333
328,18.6667,10.0167,4.6667
329,17.0,9.7,5.0
330,15.6667,9.7833,4.0
331,16.0,9.6367,4.3333
332,16.6667,10.0733,5.0
333,16.0,10.09,4.3333
334,17.3333,9.7733,4.6667
335,14.3333,9.9467,4.6667
336,16.0,9.8967,4.3333
337,16.3333,9.8567,4.0
338,14.6667,9.64,4.3333
339,14.6667,9.65,4.6667
340,17.0,10.09,4.0
341,14.6667,9.6867,4.3333
342,14.3333,9.37,5.0
343,17.3333,9.5767,4.3333
344,16.3333,9.51,5.0
345,17.0,9.77,3.3333
346,17.6667,10.18,5.3333
347,16.3333,9.8033,4.6667
348,15.3333,9.78,4.0
349,15.3333,9.5933,5.0
350,16.6667,9.9433,4.3333
351,17.6667,9.7433,4.6667
352,16.0,9.59,4.0
353,17.0,9.7267,4.6667
354,14.0,9.4267,4.0
355,15.3333,10.4,5.3333
356,15.0,9.96,5.3333
357,16.3333,9.4333,4.6667
358,16.6667,9.7633,3.0
359,18.0,9.9433,4.3333
360,15.6667,9.7833,4.0
361,15.6667,9.79,4.3333
362,17.0,10.09,4.3333
363,15.6667,9.2067,4.3333
364,14.3333,9.6933,5.0
365,16.0,9.24,5.0
366,15.6667,9.6233,4.3333
367,14.6667,9.4733,4.3333
368,17.6667,10.1667,3.6667
369,15.6667,9.25,4.6667
370,16.0,9.6267,3.6667
371,15.0,9.64,5.0
372,17.3333,9.8967,4.3333
373,14.3333,9.7133,4.3333
374,15.0,9.85,5.3333
375,17.3333,9.9267,5.0
376,16.3333,9.85,4.6667
377,15.3333,9.8733,3.6667
378,17.0,10.1433,4.6667
379,15.6667,10.0433,3.3333
380,15.6667,10.0133,3.6667
381,17.3333,9.57,3.6667
382,14.3333,9.5633,4.0
383,15.3333,9.4033,3.6667
384,15.6667,9.86,5.0
385,16.0,9.8167,4.0
386,15.3333,9.8767,4.3333
387,15.3333,9.7167,5.6667
388,15.0,9.74,4.6667
389,15.3333,9.7567,4.3333
390,17.6667,10.0033,5.0
391,16.6667,9.97,4.3333
392,19.0,10.2067,4.6667
393,19.0,9.91,4.0
394,15.6667,9.6333,3.6667
395,19.0,9.9767,4.3333
396,16.0,9.9933,3.3333
397,15.3333,9.84,4.6667
398,16.6667,10.2667,4.3333
399,17.0,9.87,4.3333
400,15.3333,9.6967,5.0
401,17.0,10.2167,4.6667
402,16.6667,10.1367,4.6667
403,16.3333,9.7033,4.3333
404,16.6667,10.2133,3.6667
405,19.0,10.0,5.0
406,18.6667,9.8833,4.6667
407,15.3333,9.7567,5.0
408,15.6667,9.81,4.0
409,15.3333,9.85,3.0
410,14.6667,10.2333,4.3333
411,16.0,9.9933,4.6667
412,16.0,9.6067,3.3333
413,16.0,10.1433,4.3333
414,15.6667,10.3967,4.3333
415,17.3333,10.0833,3.6667
416,15.6667,9.7633,3.6667
417,18.0,9.4733,3.6667
418,16.3333,9.8,3.3333
419,17.0,9.79,4.0
420,16.6667,9.8767,3.0
421,18.6667,9.8333,3.3333
422,21.0,10.0333,5.0
423,17.3333,9.7833,3.3333
424,15.6667,9.8067,4.3333
425,17.0,10.42,4.0
426,17.0,9.88,5.0
427,19.0,9.7067,4.3333
428,16.3333,9.49,3.3333
429,16.3333,9.95,4.3333
430,20.0,10.0,4.6667
431,16.3333,9.5733,3.6667
432,17.0,9.79,3.6667
433,16.6667,9.7933,4.3333
434,14.6667,9.3633,4.0
435,17.6667,9.66,3.6667
436,16.6667,9.54,3.6667
437,17.6667,9.83,3.6667
438,16.6667,9.9967,3.6667
439,15.0,9.6267,3.6667
440,15.6667,9.9533,4.3333
441,15.3333,9.75,3.3333
442,16.6667,9.8133,3.6667
443,15.3333,10.1267,3.6667
444,15.0,10.0433,4.0
445,18.3333,9.9267,4.6667
446,17.3333,9.97,4.3333
447,18.0,10.07,5.0
448,19.3333,10.1667,4.0
449,16.0,10.45,4.0
450,18.0,9.5467,3.6667
451,16.3333,10.1633,4.0
452,15.3333,10.4933,4.3333
453,16.0,9.6033,4.3333
454,18.0,10.2033,5.0
455,15.0,9.7167,5.0
456,15.3333,9.9533,4.3333
457,18.0,9.9133,4.3333
458,16.3333,10.1367,3.6667
459,16.6667,9.91,4.3333
460,16.0,10.23,3.3333
461,15.6667,10.2667,3.6667
462,17.6667,10.46,3.6667
463,18.0,9.83,4.3333
464,19.0,10.2267,5.0
465,15.0,9.78,3.6667
466,17.6667,10.0867,4.0
467,16.3333,10.08,3.6667
468,16.0,10.08,3.6667
469,16.6667,10.19,3.3333
470,16.6667,9.78,3.0
471,15.6667,10.2467,5.0
472,16.6667,9.98,4.3333
473,17.6667,9.5133,3.3333
474,16.3333,9.93,3.6667
475,15.6667,10.0667,4.0
476,16.6667,9.8533,4.3333
477,16.3333,9.7667,4.0
478,15.3333,9.7133,3.3333
479,15.0,9.6667,4.0
480,16.3333,10.3167,4.6667
481,17.3333,9.57,3.3333
482,16.6667,9.8033,3.6667
483,16.3333,9.4567,4.0
484,16.0,9.8267,3.6667
485,17.3333,10.0367,3.6667
486,18.3333,9.9367,4.0
487,16.3333,9.73,3.6667
488,14.3333,9.3833,3.0
489,16.0,9.5467,4.0
490,16.6667,9.6833,4.0
491,14.6667,9.21,3.6667
492,15.6667,9.3567,3.6667
493,14.6667,9.45,3.6667
494,16.3333,9.8733,5.3333
495,16.0,9.9967,5.3333
496,16.0,9.82,4.0
497,16.6667,9.5467,4.0
498,14.6667,9.3267,3.3333
499,15.6667,9.4867,4.3333
500,16.0,9.5667,4.3333
501,16.0,10.3667,6.0
502,14.3333,9.6567,4.3333
503,17.3333,9.9633,4.3333
504,18.6667,9.8167,5.3333
505,15.0,9.5967,4.6667
506,14.3333,9.1867,5.6667
507,15.3333,9.3667,4.3333
508,15.3333,10.0333,4.6667
509,16.0,10.19,5.6667
510,16.6667,9.8333,4.3333
511,18.3333,10.02,3.3333
512,17.3333,9.6333,4.0
513,16.0,9.8733,3.3333
514,16.6667,9.86,4.0
515,15.6667,9.14,4.0
516,15.6667,9.6967,4.6667
517,18.0,9.6133,4.6667
518,16.3333,9.4033,4.0
519,15.0,9.4533,3.3333
520,16.0,9.7267,4.3333
521,17.0,10.4167,3.3333
522,15.6667,9.7733,4.6667
523,17.3333,10.1533,4.6667
524,15.3333,9.3,4.3333
525,16.0,9.8067,3.3333
526,15.6667,9.7633,4.0
527,16.6667,10.0767,4.0
528,15.6667,9.74,4.6667
529,15.0,9.5467,4.3333
530,16.0,9.8967,4.3333
531,16.0,10.15,3.6667
532,14.6667,9.4233,3.6667
