generation,best_fitness,avg_fitness,worst_fitness
858,18.0,10.6267,3.6667
859,15.6667,10.4233,4.6667
860,18.0,10.5733,3.3333
861,17.3333,10.2967,4.3333
862,20.6667,10.8233,3.0
863,17.3333,10.4533,4.3333
864,15.6667,10.31,4.3333
865,16.3333,10.2467,3.6667
866,16.6667,10.8467,4.0
867,18.3333,10.3133,4.0
868,20.3333,10.3033,4.0
869,19.0,10.2367,3.0
870,16.6667,10.6433,3.3333
871,17.6667,10.59,4.6667
872,17.3333,10.7467,4.3333
873,16.6667,10.2467,4.3333
874,17.6667,10.6733,4.6667
875,19.0,10.1867,4.0
876,18.0,10.81,4.3333
877,18.3333,10.46,4.0
878,20.3333,10.7867,3.3333
879,17.6667,10.2967,4.3333
880,16.3333,10.4067,3.6667
881,19.0,10.89,4.6667
882,18.0,10.3033,4.3333
883,18.0,10.7,4.6667
884,16.3333,10.0733,3.3333
885,18.6667,10.28,4.3333
886,17.3333,10.32,3.6667
887,17.3333,10.04,3.6667
888,15.6667,10.4833,4.0
889,17.3333,10.6967,4.3333
890,16.6667,10.6333,4.0
891,18.6667,10.5533,3.3333
892,17.3333,10.7167,4.6667
893,18.3333,10.4833,3.6667
894,18.6667,10.44,4.3333
895,17.3333,10.0267,4.6667
896,18.0,10.3467,5.0
897,15.6667,10.05,4.3333
898,19.6667,10.0833,3.6667
899,19.3333,9.5767,4.0
900,15.6667,9.5533,3.6667
901,17.0,9.9567,4.0
902,17.0,9.6733,3.3333
903,16.3333,10.1133,5.0
904,17.6667,9.7633,3.6667
905,16.6667,9.4033,3.6667
906,15.6667,9.8333,3.3333
907,16.6667,9.6667,5.0
908,14.6667,9.9267,4.3333
909,14.6667,9.8633,4.6667
910,16.3333,9.4433,4.6667
911,17.0,10.3333,4.6667
912,15.6667,10.2633,4.6667
913,15.3333,10.37,4.3333
914,16.0,10.2067,4.0
915,16.3333,10.1567,4.3333
916,15.6667,9.5767,5.0
917,17.3333,10.3967,5.0
918,19.0,10.0,3.6667
919,16.0,10.4933,3.6667
920,15.3333,10.0267,5.0
921,17.6667,10.31,3.6667
922,16.6667,10.17,5.3333
923,17.6667,10.5933,3.6667
924,21.0,11.02,5.0
925,16.0,10.7167,5.0
926,17.0,10.7133,4.6667
927,15.6667,10.2033,4.0
928,17.0,10.71,5.0
929,16.6667,10.3467,5.0
930,16.6667,10.2967,3.6667
931,17.0,10.34,4.6667
932,16.3333,10.2867,4.6667
933,16.3333,9.8533,5.0
934,15.3333,10.0,4.6667
935,15.3333,10.0733,4.3333
936,16.6667,9.8767,5.0
937,17.0,10.0867,3.6667
938,16.3333,10.0667,4.3333
939,15.6667,10.17,4.6667
940,18.6667,10.0033,4.6667
941,17.6667,10.1567,3.6667
942,16.6667,10.41,5.0
943,17.3333,10.5,6.0
944,16.0,10.26,5.0
945,15.6667,10.06,5.3333
946,18.0,10.1133,4.3333
947,17.3333,10.4567,4.3333
948,18.0,10.2833,4.3333
949,17.6667,10.0267,4.6667
950,16.6667,10.27,3.6667
951,17.0,10.21,5.6667
952,16.3333,10.5533,5.6667
953,15.6667,10.1433,4.6667
954,16.0,10.4433,4.3333
955,18.0,10.7167,5.0
956,17.0,10.6333,4.0
957,15.3333,10.4667,5.0
958,15.6667,10.4933,4.6667
959,16.3333,10.8667,5.3333
960,19.0,10.2533,4.0
961,16.6667,10.4767,4.6667
962,19.6667,10.4733,4.3333
963,17.3333,10.33,4.6667
964,17.6667,10.38,4.3333
965,15.0,9.97,5.0
966,17.3333,10.8133,5.0
967,15.3333,10.48,5.0
968,18.0,10.7867,5.0
969,16.0,10.0367,4.3333
970,17.6667,10.97,4.6667
971,15.6667,10.2567,4.6667
972,17.6667,10.7167,4.3333
973,16.0,9.7967,4.0
974,17.3333,10.1967,4.3333
975,18.3333,10.0933,4.3333
976,18.0,10.2333,5.3333
977,17.3333,9.9533,5.3333
978,17.6667,10.54,5.3333
979,18.0,10.67,5.0
980,17.3333,10.3667,4.3333
981,16.6667,10.1433,3.6667
982,17.0,9.96,4.0
983,18.3333,10.5567,5.3333
984,16.0,10.66,5.3333
985,17.6667,10.7133,4.3333
986,15.6667,10.4033,5.3333
987,20.0,10.55,5.0
988,16.3333,10.5167,4.0
989,17.3333,10.93,4.6667
990,16.0,10.0933,5.3333
991,17.3333,10.85,4.3333
992,16.6667,10.8,4.6667
993,16.0,10.6933,4.6667
994,19.3333,10.1967,4.6667
995,17.0,10.3733,3.6667
996,19.0,10.7,4.3333
997,16.3333,10.59,4.3333
998,16.3333,9.8233,4.0
999,15.6667,10.1633,4.3333
1000,17.6667,10.3767,4.0
